vendor,category,confidence
Sukrishna Mega Consultancy Syangja,Business,0.92
Syangja Global Agency,Travel,0.87
Ananda Shop 624,Other,0.91
Smart Modern Printing Dhangadhi,Business,0.95
Everest Super Water Butwal,Utilities,0.86
City Laboratory,Healthcare,0.97
Ananda Electronics,Shopping,0.89
Trust Bakery 138,Food & Dining,0.81
Naya Theatre Jumla,Entertainment,0.99
Nepal Entertainment,Entertainment,0.86
Lakeside Academy,Education,0.81
Quick Urban Printing Butwal,Business,0.98
Moonlight Hostel Butwal,Business,0.96
Green Shop 408,Shopping,0.8
Riverside Internet,Utilities,0.86
Nepal Pasal Nepalgunj,Other,0.95
Mountain Clinic,Healthcare,0.9
Pashupati Printing Dhangadhi,Business,0.92
Happy Super Service,Utilities,0.93
Sajilo Urban Flight,Travel,0.98
Prime Trans Pokhara,Transportation,0.81
Syangja Diner,Food & Dining,0.86
Everest Center Bhaktapur,Education,0.93
Suryodaya Mega Rentals,Business,0.99
Happy Diagnostics,Healthcare,0.99
Nepal Travels Nepalgunj,Transportation,0.96
Naya Lounge,Entertainment,0.94
Biratnagar Kirana Nepalgunj,Other,0.93
Pokhara Agency,Business,0.83
Heritage Guest House 437,Travel,0.96
Trust Modern Rides 266,Transportation,0.94
Heritage Rentals Lalitpur,Business,0.91
Ananda Petrol Pump Biratnagar 763,Transportation,0.82
Hetauda School,Education,0.92
Pashupati Mart,Food & Dining,0.98
Himal Retreat Butwal,Travel,0.93
Smart Super Diagnostics Janakpur 693,Healthcare,0.96
Naya Modern Shop Kathmandu 674,Other,0.87
Janakpur Mega Clinic Syangja,Healthcare,0.9
Elite Modern Internet Dhangadhi,Utilities,0.96
Mero Broadband 668,Utilities,0.86
Elite Institute,Education,0.88
Prime Retreat,Travel,0.86
First Service Dharan 275,Utilities,0.9
Hetauda Super Resort,Travel,0.85
Seti Trek,Travel,0.92
Prime Theatre,Entertainment,0.98
Biratnagar Agency 967,Business,0.94
Ananda Modern Gaming Kathmandu,Entertainment,0.94
Moonlight Global Ayurveda 275,Healthcare,0.8
Janakpur Modern Fuel Station,Transportation,0.96
Royal Super Trek Gorkha,Travel,0.97
Lakeside Bhojanalay,Food & Dining,0.86
Bhaktapur Global Hospital,Healthcare,0.95
Ananda Provider 736,Utilities,0.91
Royal Resort,Travel,0.88
Kathmandu Wellness,Healthcare,0.9
Kathmandu Cable,Utilities,0.99
Ananda Taxi Pokhara,Transportation,0.84
Lakeside Utility Gorkha,Utilities,0.84
Lakeside Resort,Travel,0.93
Heritage Agency Biratnagar,Travel,0.97
Elite Fashion Dharan 239,Shopping,0.99
Classic Playzone Gorkha,Entertainment,0.86
Riverside Classic Supplies,Business,0.96
Sajilo Utility Syangja,Utilities,0.92
Suryodaya Restaurant Nepalgunj,Food & Dining,0.91
Dullu Corner Lalitpur,Other,0.88
Everest Super Office Bhaktapur,Business,0.89
Heritage Urban Supplies,Business,0.94
Classic Petrol Pump Dharan,Transportation,0.8
Bhaktapur Cinema Janakpur,Entertainment,0.98
Lakeside Mega Trek 350,Travel,0.98
Lakeside Training,Education,0.87
Blue Rides 521,Transportation,0.85
Metro Modern Printing,Business,0.96
Bagmati Fuel Station Nepalgunj,Transportation,0.89
Moonlight Foods Pokhara 188,Food & Dining,0.92
Nepal Care,Healthcare,0.99
Sajilo Office Lalitpur,Business,0.8
Elite Medical Kathmandu 524,Healthcare,0.96
Classic Hotel,Travel,0.83
Suryodaya Assortment Hetauda,Other,0.95
Prime Garage,Transportation,0.93
Bishal Retreat,Travel,0.9
Everest Provider Pokhara,Other,0.88
Chitwan Urban Center,Education,0.87
Golden Lodge Lalitpur,Travel,0.84
Sundar Global Sewa Pokhara,Transportation,0.81
First Mart 645,Shopping,0.89
Biratnagar Shop Dharan,Other,0.96
Sundar Mega Consultancy,Business,0.81
Elite Super Foods Kathmandu,Food & Dining,0.84
Smart Mart Lalitpur,Food & Dining,0.98
Dharan Water,Utilities,0.9
Syangja Taxi,Transportation,0.98
Sukrishna Rides Gorkha,Transportation,0.93
Pashupati Point Kathmandu 186,Other,0.84
Kathmandu Center,Education,0.83
Suryodaya Mega Center Dhangadhi,Education,0.82
Heritage Academy Dharan,Education,0.88
Nepal Global Bus Service Hetauda,Transportation,0.9
Sundar Internet Dhangadhi,Utilities,0.96
Smart Center 243,Education,0.84
Smart Utility,Utilities,0.9
Pashupati Medical,Healthcare,0.92
Dharan Super Lounge Gorkha,Entertainment,0.92
Heritage Consultancy Jumla,Business,0.98
Sajilo Tours Chitwan 427,Travel,0.87
Elite Printing,Business,0.88
Kathmandu Hotel,Travel,0.86
Dullu Wellness Gorkha,Healthcare,0.97
Sunrise Petrol Pump,Transportation,0.89
Classic Garage,Transportation,0.8
Chitwan Studio,Entertainment,0.98
Janakpur Hotel 484,Travel,0.92
Mountain Cafe Bhaktapur,Food & Dining,0.88
Everest Urban Provider Lalitpur,Utilities,0.97
Biratnagar Theatre Chitwan,Entertainment,0.97
Trust Mega Arcade,Entertainment,0.82
Green Consultancy,Business,0.93
Butwal Restaurant Biratnagar,Food & Dining,0.82
Dharan Global Guest House 573,Travel,0.9
Mero Resort,Travel,0.97
Heritage Mega Point,Other,0.84
Nepal Resort,Travel,0.88
Himal Bus Service,Transportation,0.96
Ananda Diner Pokhara,Food & Dining,0.83
Lumbini Hospital Biratnagar,Healthcare,0.92
Metro Mega Bakery Chitwan,Food & Dining,0.84
Green Bakery,Food & Dining,0.94
Pokhara Stationery,Education,0.98
Quick Electronics,Shopping,0.97
Elite Agency Nepalgunj,Travel,0.87
Golden Super Lounge Jumla,Entertainment,0.81
Seti Pharmacy Bhaktapur,Healthcare,0.9
Sajilo Telecom Janakpur,Utilities,0.94
Elite Travels Chitwan 464,Transportation,0.94
Kathmandu Global Studio 580,Entertainment,0.86
Koshi Telecom 23,Utilities,0.86
Chitwan Printing Pokhara 154,Business,0.99
Lalitpur Super Institute,Education,0.86
Green Bhojanalay,Food & Dining,0.88
Mountain Depo 603,Shopping,0.89
Syangja Utility 327,Utilities,0.88
Everest Electronics,Shopping,0.94
Sundar Urban Fashion Biratnagar,Shopping,0.81
Quick Urban Service Jumla,Utilities,0.94
Dharan Assortment 116,Other,0.9
Good Beverages Biratnagar,Food & Dining,0.88
Mero Tuition,Education,0.99
Suryodaya Resort,Travel,0.86
Sundar Hostel,Business,0.85
Sundar Retreat Kathmandu,Travel,0.86
Golden Water Lalitpur,Utilities,0.96
Lakeside Modern Trek Dharan,Travel,0.86
Lumbini Point Nepalgunj,Other,0.86
Prime Classic Printing Nepalgunj,Business,0.91
First Modern Point,Other,0.92
Seti Playzone Janakpur,Entertainment,0.89
Good Provider 184,Utilities,0.9
Prime Tuition Chitwan,Education,0.82
Lakeside Momo,Food & Dining,0.98
Chitwan Broadband,Utilities,0.8
Naya Mega Medical,Healthcare,0.95
Pashupati Clinic 133,Healthcare,0.92
Heritage Global Store Chitwan,Shopping,0.94
Sajilo Kitchen Dharan,Food & Dining,0.89
Heritage Urban Petrol Pump Jumla,Transportation,0.89
Everest Urban Flight Dhangadhi,Travel,0.94
Good Rides Dharan,Transportation,0.98
Nepal Agency Janakpur,Business,0.86
Prime Shop Nepalgunj,Other,0.95
Biratnagar Emporium,Shopping,0.8
Ananda Travels,Transportation,0.87
Seti Supplies Chitwan,Business,0.83
Bishal Classic Medical Kathmandu,Healthcare,0.92
Lalitpur Store Kathmandu,Shopping,0.85
First Goods Dharan,Other,0.92
Mountain Fashion,Shopping,0.94
Hetauda Mega Travels Gorkha,Transportation,0.81
Dullu Rentals,Business,0.81
Metro Water Nepalgunj 59,Utilities,0.95
Prime Studio Dhangadhi,Entertainment,0.8
Trust Consultancy Biratnagar,Business,0.99
Royal Training,Education,0.95
Nepal Telecom Hetauda,Utilities,0.87
Good Urban Arcade Lalitpur,Entertainment,0.98
Mero Travels Hetauda,Transportation,0.88
Riverside Entertainment Gorkha 548,Entertainment,0.83
Smart Rentals,Business,0.83
Nepalgunj Books Gorkha,Education,0.8
Dullu Modern Broadband Dhangadhi,Utilities,0.98
Sunrise Events Gorkha,Entertainment,0.84
Pokhara Travels,Travel,0.87
Lalitpur Super Bhojanalay,Food & Dining,0.83
Janakpur Hotel Biratnagar 241,Travel,0.82
Urban Laboratory Biratnagar,Healthcare,0.85
Sajilo Laboratory Pokhara 770,Healthcare,0.89
Bhaktapur Modern Diagnostics Dhangadhi,Healthcare,0.98
Sunrise Academy Janakpur,Education,0.83
Bishal Center Bhaktapur,Education,0.98
Dharan Theatre,Entertainment,0.95
Blue Mega Depo,Shopping,0.86
Royal Service Hetauda,Utilities,0.87
Bagmati Mega Pasal 88,Other,0.91
Lumbini Medical Butwal,Healthcare,0.97
Biratnagar Mega Events,Entertainment,0.9
Suryodaya Provider Chitwan,Utilities,0.99
Hetauda Broadband Pokhara,Utilities,0.88
Urban Studio Dhangadhi,Entertainment,0.86
Golden Flight Dharan,Travel,0.82
Classic Internet,Utilities,0.82
Chitwan Fashion,Shopping,0.82
Kathmandu Guest House Pokhara,Travel,0.94
Happy Diner Butwal,Food & Dining,0.92
Mero Modern Institute Lalitpur,Education,0.91
Prime Modern Center,Other,0.9
Metro Beverages,Food & Dining,0.97
Sajilo Outlet,Shopping,0.87
Blue Services,Business,0.93
Dharan Laboratory Pokhara 598,Healthcare,0.83
Metro Center Nepalgunj,Other,0.87
Sunrise Retreat Gorkha,Travel,0.82
Pokhara Mega Transport Gorkha,Transportation,0.94
Dharan Momo Dharan 385,Food & Dining,0.98
Classic Arcade Chitwan,Entertainment,0.95
Moonlight Super Trans Chitwan,Transportation,0.99
Nepal Theatre Pokhara,Entertainment,0.92
Good Global Health Center 457,Healthcare,0.98
Butwal Guest House Lalitpur 919,Travel,0.81
Bhaktapur Garage Syangja,Transportation,0.96
Himal Classic Books Nepalgunj,Education,0.86
Urban Urban Outlet Nepalgunj,Shopping,0.85
Suryodaya Super Cable Jumla,Utilities,0.91
Metro Bakery Chitwan,Food & Dining,0.91
Naya Electronics,Shopping,0.98
Classic Outlet Dharan,Shopping,0.85
Chitwan Urban Mart 372,Shopping,0.85
Riverside Rentals Janakpur,Business,0.84
Royal Lounge,Entertainment,0.8
Green Fuel Station,Transportation,0.99
Metro Urban Laboratory 828,Healthcare,0.94
Ananda Trek Pokhara,Travel,0.94
Mero Global Outlet,Shopping,0.94
Green Urban Travels Kathmandu,Transportation,0.83
Elite Entertainment,Entertainment,0.83
Riverside Solutions Janakpur,Business,0.91
Quick Retreat,Travel,0.85
Metro Super Pasal Bhaktapur,Other,0.84
Bhaktapur Trek Nepalgunj,Travel,0.83
Riverside Transport Pokhara,Transportation,0.9
Urban Laboratory Dhangadhi,Healthcare,0.81
Lakeside Rides Biratnagar,Transportation,0.88
Classic School Hetauda 22,Education,0.88
Urban Corner,Other,0.98
Riverside Water Kathmandu,Utilities,0.98
Hetauda Restaurant Chitwan,Food & Dining,0.87
Koshi Training Lalitpur,Education,0.96
Everest Urban Mart Hetauda,Shopping,0.82
Urban Urban Diner,Food & Dining,0.95
Lumbini Supplies Dharan 170,Business,0.81
Pokhara University,Education,0.94
Lakeside Mart Syangja,Shopping,0.8
Good Modern Goods Butwal,Other,0.89
Mountain Logistics Chitwan,Business,0.98
Ananda Resort Syangja,Travel,0.82
Pashupati Mart Biratnagar,Food & Dining,0.92
Metro Classic Hostel Gorkha,Business,0.95
Sunrise Agency Hetauda,Business,0.81
Quick Hotel,Travel,0.89
Golden Classic Retreat Butwal,Travel,0.83
Sukrishna Trek Hetauda,Travel,0.91
Pashupati Office Dharan,Business,0.99
Biratnagar Mega Club,Entertainment,0.83
Seti Modern Service Kathmandu,Utilities,0.91
Sukrishna Internet,Utilities,0.81
First Rentals Dharan,Business,0.94
Riverside Ayurveda Dharan,Healthcare,0.85
Chitwan Mega Books Pokhara,Education,0.91
Riverside Travels Pokhara,Travel,0.89
Syangja Rides Dharan 983,Transportation,0.97
Seti Internet,Utilities,0.86
Hetauda Broadband Lalitpur,Utilities,0.98
Nepal Retreat Lalitpur,Travel,0.91
Heritage Collection Pokhara,Shopping,0.82
City Agency,Travel,0.83
Smart Provider,Utilities,0.9
Blue Agency Kathmandu,Travel,0.88
Happy Depo,Shopping,0.98
Blue Garage Chitwan 238,Transportation,0.96
Lalitpur Hotel Gorkha,Travel,0.91
Riverside Wellness Jumla,Healthcare,0.91
Riverside Transport,Transportation,0.87
Heritage Travels Syangja 674,Transportation,0.8
City Solutions,Business,0.98
Seti Cafe,Food & Dining,0.97
Sundar Books Nepalgunj,Education,0.89
Koshi Urban Vendor,Other,0.95
Royal Urban Shop,Shopping,0.82
Seti Super Transport Bhaktapur,Transportation,0.85
Nepalgunj Cinema Kathmandu,Entertainment,0.94
Sundar Institute Syangja,Education,0.87
Everest Mart,Food & Dining,0.95
Lakeside Care Kathmandu,Healthcare,0.85
Elite Broadband Biratnagar 9,Utilities,0.87
Gorkha Center Biratnagar 976,Education,0.98
Bishal School,Education,0.83
Pokhara Foods 635,Food & Dining,0.99
City Hostel,Business,0.94
Butwal Printing Bhaktapur 378,Business,0.92
Metro Fashion,Shopping,0.81
Trust Beverages,Food & Dining,0.93
Green Corner Syangja,Other,0.81
Royal Classic Agency 362,Business,0.89
Hetauda Super Wellness Pokhara 875,Healthcare,0.8
Riverside Modern Fashion,Shopping,0.89
Mero Pasal,Other,0.96
Classic Water,Utilities,0.95
Sundar Academy Pokhara,Education,0.91
Lumbini Classic Fuel Station,Transportation,0.86
Dullu Sewa Dhangadhi,Transportation,0.9
Golden Mega Stationery Hetauda,Education,0.92
Mountain Stationery 942,Education,0.89
Sukrishna Super Tuition Chitwan,Education,0.91
Bhaktapur Lodge Gorkha 953,Travel,0.81
Bishal Emporium Jumla,Shopping,0.95
Janakpur Shop,Other,0.86
Smart Utility Chitwan,Utilities,0.98
Dharan Travels Chitwan,Transportation,0.8
Pokhara Theatre Butwal,Entertainment,0.91
Suryodaya Vendor Gorkha,Other,0.89
Janakpur Bazaar 146,Shopping,0.83
Smart Mega Water,Utilities,0.96
Pashupati Telecom,Utilities,0.96
Good Mega Medical Chitwan,Healthcare,0.88
Ananda Center,Other,0.87
Pokhara Modern Ayurveda Biratnagar,Healthcare,0.94
Lumbini Modern Diagnostics Hetauda,Healthcare,0.8
Gorkha Store,Shopping,0.88
Heritage Consultancy Chitwan,Business,0.83
Royal Cafe Chitwan,Food & Dining,0.81
Green Super Ayurveda 415,Healthcare,0.99
Everest Corner Hetauda,Other,0.93
Smart Solutions,Business,0.95
Nepal Care 452,Healthcare,0.81
Sunrise Garage,Transportation,0.96
Classic Classic Flight Dharan 95,Travel,0.94
Syangja Restaurant,Food & Dining,0.87
Mero Cafe 590,Food & Dining,0.89
Good Lounge,Entertainment,0.89
Elite Store Lalitpur,Shopping,0.99
Hetauda Mega Service 983,Utilities,0.91
Everest Petrol Pump,Transportation,0.93
Ananda Mart Hetauda,Food & Dining,0.8
Butwal Logistics,Business,0.88
Kathmandu Health Center Lalitpur,Healthcare,0.92
Mero Rides Nepalgunj,Transportation,0.95
Lakeside Modern Hostel,Business,0.85
Kathmandu Telecom Hetauda 922,Utilities,0.97
Biratnagar Stationery,Education,0.83
City Supplies Butwal,Business,0.87
Syangja Training Janakpur,Education,0.95
Biratnagar Broadband,Utilities,0.83
Pashupati Care 571,Healthcare,0.85
Pokhara Logistics 974,Business,0.91
Gorkha Taxi,Transportation,0.94
Lalitpur Collection,Shopping,0.96
Janakpur Electric Jumla,Utilities,0.87
First Restaurant Dharan 856,Food & Dining,0.96
Syangja Global Lounge 933,Entertainment,0.96
Green Super Taxi Jumla,Transportation,0.91
Syangja Gaming,Entertainment,0.95
Elite Beverages Pokhara,Food & Dining,0.87
Janakpur Corner,Other,0.91
Nepal Tours Jumla,Travel,0.9
Happy Flight Bhaktapur,Travel,0.93
Dharan Urban Goods,Other,0.81
Gorkha Urban Garage Pokhara 604,Transportation,0.93
Golden Utility,Utilities,0.91
Lalitpur Global Logistics Bhaktapur,Business,0.81
Blue Urban Depo,Shopping,0.95
Nepalgunj Institute,Education,0.96
Sundar Utility,Utilities,0.88
Chitwan Super Retreat Syangja,Travel,0.8
Urban Care,Healthcare,0.98
Sukrishna Energy Janakpur,Utilities,0.83
Chitwan Provider Butwal 422,Other,0.98
Quick Transport Jumla,Transportation,0.98
Lalitpur Sewa,Transportation,0.92
Golden Center Bhaktapur,Other,0.98
Gorkha Lodge,Travel,0.81
Kathmandu Point Chitwan,Other,0.9
Butwal Arcade,Entertainment,0.96
Riverside Rides,Transportation,0.86
Butwal University,Education,0.87
Sunrise Collection,Shopping,0.8
Trust Momo,Food & Dining,0.86
Urban Transport,Transportation,0.9
Dharan Club Nepalgunj,Entertainment,0.92
Sajilo Retreat Nepalgunj,Travel,0.85
Smart Bus Service Dharan,Transportation,0.89
Seti Rentals Chitwan,Business,0.91
Everest Beverages Chitwan,Food & Dining,0.95
Himal Classic Consultancy 854,Business,0.97
Happy Printing,Business,0.91
Everest Sewa,Transportation,0.85
Sundar Global Care Hetauda,Healthcare,0.84
Classic Momo Butwal,Food & Dining,0.86
Prime Beverages Butwal,Food & Dining,0.96
Bhaktapur Mega Guest House Dhangadhi,Travel,0.81
Golden Pasal Chitwan 82,Other,0.82
Elite Urban Bazaar,Shopping,0.89
Mero Books Dharan,Education,0.88
Syangja Kirana,Other,0.96
Good Flight Janakpur,Travel,0.98
Gorkha Entertainment,Entertainment,0.85
Kathmandu Agency Syangja,Business,0.9
Dharan Mega Fashion Nepalgunj 927,Shopping,0.96
Syangja College,Education,0.86
Heritage Modern Rentals,Business,0.89
Janakpur Center Pokhara,Education,0.82
Ananda Urban Point Syangja,Other,0.8
Hetauda Assortment,Other,0.85
Butwal Medical Dharan,Healthcare,0.89
Lakeside Point,Other,0.89
Trust Books Syangja,Education,0.9
Chitwan Electronics,Shopping,0.94
Green Center Chitwan,Education,0.9
Himal Shop Pokhara 551,Other,0.94
Nepal Shop 344,Shopping,0.83
Biratnagar Classic Depo Gorkha 413,Shopping,0.96
Gorkha Rides Nepalgunj,Transportation,0.85
Mountain Utility,Utilities,0.8
Metro Momo,Food & Dining,0.85
Dullu Modern Petrol Pump Butwal,Transportation,0.9
Everest Office Pokhara,Business,0.95
Classic Lounge Pokhara,Entertainment,0.87
Happy University Dhangadhi,Education,0.91
Lalitpur Modern Restaurant Butwal,Food & Dining,0.93
Dullu Taxi 422,Transportation,0.99
Blue Studio,Entertainment,0.84
Gorkha Health Center,Healthcare,0.89
Good Fashion Syangja,Shopping,0.92
Blue Kitchen Butwal,Food & Dining,0.89
Lumbini Classic Assortment Dharan,Other,0.85
Bagmati Playzone,Entertainment,0.86
Trust Cinema Hetauda,Entertainment,0.85
Trust Emporium 332,Shopping,0.82
Gorkha Global Collection,Shopping,0.83
Suryodaya Super Bakery,Food & Dining,0.94
Quick Hospital 810,Healthcare,0.9
Gorkha Super Energy,Utilities,0.95
Classic Kitchen,Food & Dining,0.82
Lakeside Wellness Pokhara 676,Healthcare,0.81
Classic Gaming,Entertainment,0.98
Prime Cafe Janakpur,Food & Dining,0.92
Mountain Beverages Kathmandu,Food & Dining,0.85
Elite Bus Service,Transportation,0.87
Butwal Classic Pasal Lalitpur,Other,0.81
Mountain Super Medical Pokhara,Healthcare,0.88
Bhaktapur Water Hetauda,Utilities,0.86
Syangja Assortment Hetauda,Other,0.81
Golden Classic Books,Education,0.98
Heritage Petrol Pump,Transportation,0.91
Trust Tuition,Education,0.85
Gorkha Bazaar Chitwan,Shopping,0.89
Heritage Global Diner,Food & Dining,0.89
Biratnagar Printing Lalitpur,Business,0.98
Classic Utility,Utilities,0.82
Classic Urban College Biratnagar,Education,0.82
Kathmandu Modern Point Nepalgunj,Other,0.9
Sajilo Pharmacy Pokhara,Healthcare,0.91
Blue Pasal Chitwan,Other,0.89
Syangja Super Agency,Travel,0.87
City Super Point 70,Other,0.98
Himal Pharmacy Nepalgunj,Healthcare,0.81
Classic Electronics,Shopping,0.84
Biratnagar Classic Corner,Other,0.82
Riverside Logistics Janakpur,Business,0.8
Biratnagar Institute 569,Education,0.83
City Corner 621,Other,0.88
Koshi Bakery Lalitpur 984,Food & Dining,0.88
Metro Medical Bhaktapur,Healthcare,0.83
Butwal Office Jumla 824,Business,0.95
Hetauda Corner Gorkha 812,Other,0.83
Bhaktapur Point Syangja,Other,0.92
Urban Trans Nepalgunj,Transportation,0.94
Seti Institute 50,Education,0.93
Golden Outlet,Shopping,0.9
Bhaktapur Kirana,Other,0.8
Moonlight Clinic Kathmandu 32,Healthcare,0.88
Classic Mega Care 65,Healthcare,0.87
Butwal Lodge,Travel,0.98
Lakeside Modern Supplies Butwal,Business,0.81
Mountain Solutions,Business,0.96
Bishal Logistics,Business,0.96
Heritage Cinema,Entertainment,0.94
Lalitpur Vendor Janakpur,Other,0.85
Sukrishna Wellness,Healthcare,0.99
Pokhara Supplies,Business,0.98
Blue Taxi,Transportation,0.86
Blue Retreat Butwal,Travel,0.8
Metro Tours,Travel,0.89
Dullu Rides,Transportation,0.85
Butwal Kitchen Jumla,Food & Dining,0.97
Royal Super Stationery,Education,0.84
Pashupati Travels,Transportation,0.83
First Tuition 118,Education,0.92
Kathmandu Modern Theatre,Entertainment,0.81
Lumbini Classic Stationery Chitwan,Education,0.9
Bagmati Petrol Pump,Transportation,0.91
Classic Diner Nepalgunj,Food & Dining,0.85
First Mega Laboratory,Healthcare,0.85
Good Lounge Dharan,Entertainment,0.97
Prime Global Energy,Utilities,0.82
Royal Mart,Shopping,0.98
Blue Global Foods Kathmandu,Food & Dining,0.81
Golden Classic Printing,Business,0.91
Sajilo Arcade Jumla 808,Entertainment,0.92
Lumbini Shop Lalitpur,Other,0.97
Moonlight Restaurant 882,Food & Dining,0.81
Dharan Mega Training Lalitpur,Education,0.85
Classic Rides,Transportation,0.92
Butwal Institute 508,Education,0.82
Chitwan Trek Dhangadhi,Travel,0.86
Nepalgunj College,Education,0.98
Sunrise Vendor Kathmandu,Other,0.92
Mountain Supplies Butwal,Business,0.89
Bagmati Garage,Transportation,0.95
Good Club Lalitpur,Entertainment,0.9
Riverside Rentals,Business,0.87
Green Mega Clinic Dharan,Healthcare,0.91
First Club,Entertainment,0.87
Quick Pasal Dhangadhi,Other,0.8
Janakpur Global Retreat Bhaktapur,Travel,0.88
Prime Services,Business,0.87
Kathmandu Global School Jumla 780,Education,0.85
Biratnagar Modern Lounge,Entertainment,0.9
Koshi Modern University,Education,0.83
Seti Agency Biratnagar,Business,0.8
Urban Modern University,Education,0.97
Dullu Urban Bus Service Dharan,Transportation,0.81
Ananda Wellness Butwal,Healthcare,0.91
Metro Classic Health Center 163,Healthcare,0.91
Dharan Tours Pokhara,Travel,0.86
Koshi Electric 339,Utilities,0.95
Chitwan Cinema Kathmandu,Entertainment,0.96
Naya Service,Utilities,0.89
Sunrise Training Chitwan,Education,0.84
Dharan Classic Agency,Business,0.86
Bhaktapur Mega Shop Butwal,Other,0.82
Lalitpur Theatre,Entertainment,0.97
Bagmati Theatre,Entertainment,0.91
Sunrise Cinema Bhaktapur,Entertainment,0.82
Bhaktapur Supplies 979,Business,0.91
Golden Hotel Jumla,Travel,0.99
Everest Hostel Bhaktapur,Business,0.82
First Services,Business,0.96
Seti Global Retreat Dharan,Travel,0.83
Naya Water,Utilities,0.88
Butwal Hostel,Business,0.85
Sukrishna Corner,Other,0.84
Chitwan Shop Nepalgunj,Other,0.96
Golden Global Agency,Business,0.85
Mero Modern Rides Dharan 127,Transportation,0.91
Nepalgunj Foods Nepalgunj,Food & Dining,0.94
Hetauda Trek Pokhara,Travel,0.87
Prime Garage Hetauda,Transportation,0.95
Nepalgunj Global Supplies Lalitpur 548,Business,0.98
Smart Center Jumla,Education,0.82
Koshi Store Gorkha,Shopping,0.94
Ananda Flight Pokhara,Travel,0.84
Lumbini Urban Bakery Lalitpur,Food & Dining,0.83
Quick Logistics 797,Business,0.86
City Academy 384,Education,0.99
Lakeside Theatre Nepalgunj,Entertainment,0.95
Golden Cable,Utilities,0.88
Ananda Classic Events Dharan,Entertainment,0.84
Happy Agency Lalitpur 86,Business,0.92
Metro Super Tuition Lalitpur,Education,0.96
Janakpur Urban Vendor,Other,0.85
City Classic Store,Shopping,0.81
Syangja Classic Hostel,Business,0.96
Pashupati Consultancy Gorkha 802,Business,0.9
Hetauda Modern Agency,Business,0.92
Sukrishna Office Pokhara,Business,0.94
Mero Pasal Jumla,Other,0.98
Butwal Restaurant,Food & Dining,0.87
Himal Electric Lalitpur,Utilities,0.87
Golden Shop Jumla,Shopping,0.98
Syangja Mega Provider Dhangadhi,Other,0.86
Classic Diagnostics,Healthcare,0.98
Seti Petrol Pump Nepalgunj 464,Transportation,0.84
Golden Shop,Shopping,0.85
Happy Logistics Gorkha,Business,0.91
Trust Electronics Janakpur,Shopping,0.9
Butwal Laboratory 706,Healthcare,0.88
Lalitpur Assortment Chitwan,Other,0.94
Royal Services Kathmandu 375,Business,0.85
Blue Store,Shopping,0.89
Blue Urban Goods Hetauda,Other,0.86
Green Classic Travels Dharan,Travel,0.89
Bishal Stationery,Education,0.97
Sukrishna Depo Dharan,Shopping,0.98
Heritage Agency Janakpur,Business,0.94
Lakeside Super Cable Syangja,Utilities,0.84
Golden Clinic,Healthcare,0.88
First Momo Kathmandu,Food & Dining,0.98
Chitwan Modern Cinema,Entertainment,0.95
Koshi Clinic 780,Healthcare,0.84
Himal Agency 679,Travel,0.98
Blue Super Broadband 805,Utilities,0.86
Himal Events,Entertainment,0.85
Suryodaya Goods Hetauda,Other,0.83
Dharan Classic Bus Service 699,Transportation,0.89
Lakeside Service Pokhara,Utilities,0.93
Riverside Logistics Dharan,Business,0.84
Trust Modern Internet Lalitpur 97,Utilities,0.98
Lalitpur Services 498,Business,0.9
Hetauda Urban Travels Pokhara,Transportation,0.81
Nepalgunj Mega Garage,Transportation,0.83
Riverside Sewa,Transportation,0.91
Dullu Transport Biratnagar,Transportation,0.94
Gorkha Travels Janakpur,Travel,0.96
Hetauda Momo Hetauda,Food & Dining,0.86
Golden Global Entertainment Kathmandu,Entertainment,0.87
Sunrise Modern Goods Pokhara 10,Other,0.84
Urban Rides Nepalgunj,Transportation,0.95
Sajilo Hotel Syangja,Travel,0.93
Heritage Shop Gorkha,Other,0.94
Sundar Printing Nepalgunj,Business,0.86
Good Classic Taxi,Transportation,0.87
Green Rides,Transportation,0.89
First Point,Other,0.86
Good Global Shop,Shopping,0.94
Golden Mart,Food & Dining,0.87
Happy Foods,Food & Dining,0.89
Syangja Sewa,Transportation,0.93
Bhaktapur Restaurant,Food & Dining,0.88
Nepalgunj Internet,Utilities,0.85
Syangja Urban Cafe,Food & Dining,0.92
Pokhara Collection Bhaktapur,Shopping,0.99
Green Garage,Transportation,0.84
Sundar Tuition Gorkha,Education,0.89
Koshi Classic Vendor Bhaktapur,Other,0.95
Trust Modern Vendor,Other,0.97
Seti Water,Utilities,0.9
Dharan Bus Service Janakpur,Transportation,0.81
Lalitpur Pharmacy,Healthcare,0.99
Dharan Internet,Utilities,0.97
Green Arcade 812,Entertainment,0.94
Pokhara Global Hotel,Travel,0.91
City Cinema,Entertainment,0.97
Sukrishna Beverages Bhaktapur,Food & Dining,0.82
Naya Global Logistics Bhaktapur 384,Business,0.98
Himal Mart 471,Shopping,0.87
Urban Super Bhojanalay,Food & Dining,0.89
Prime Club,Entertainment,0.84
Golden Energy Syangja 46,Utilities,0.82
Butwal Mega Trans 287,Transportation,0.86
Bhaktapur Academy Bhaktapur,Education,0.83
Smart Beverages,Food & Dining,0.98
Naya Store 679,Shopping,0.82
Suryodaya Pharmacy,Healthcare,0.86
Mountain Classic Momo Lalitpur,Food & Dining,0.94
Happy Classic Hospital,Healthcare,0.9
